Spotify ID,Artist IDs,Track Name,Artist Name(s),Duration (ms),Popularity,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1ppOQ5KApUrYgFzc9kAENZ,2dRsXWVnkku2cMDtV1h6NP,Tin Tin Deo - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,376800,11,"bebop,hard bop,jazz,jazz saxophone,soul jazz",0.431,0.54,10,-8.197,0,0.0366,0.723,0,0.0776,0.664,176.738,4
6lRUxdHbXomYmWcT1IkQDA,3NUsiT2JSyaWAnWaXxDzhQ,It's You Or No One - Rudy Van Gelder/24-Bit Mastering/Digital Remaster/2004,Dexter Gordon,374466,12,"bebop,hard bop,jazz,jazz saxophone,stride,vocal jazz",0.632,0.662,5,-8.583,1,0.043,0.621,0.0477,0.104,0.681,130.163,4
1z0PVtIa2c2ydASf2CqEYd,0fTHKjepK5HWOrb2rkS5Em,Blues For Brenda - 1997 Remastered,Freddie Hubbard,419600,27,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz,stride",0.507,0.448,10,-12.448,0,0.0646,0.729,0.0291,0.188,0.47,141.039,4
5Q9XLLVex1yZ0Heo2SVhMI,65uKPt40QH8dMBLuoJHPVY,Lion's Den - Rudy Van Gelder Edition/2007 Remaster,Kenny Drew,293106,32,"bebop,contemporary post-bop,hard bop,japanese jazz,jazz,jazz piano,stride",0.587,0.552,5,-7.797,1,0.0304,0.592,0.000173,0.0822,0.449,106.801,4
3MAR3T0AWWIfN7tlgjjPzt,5cbutZUQE7SUCA6MsEMbBv,A Baptist Beat - Rudy Van Gelder Edition,Hank Mobley,534546,28,"bebop,hard bop,jazz,jazz saxophone,soul jazz,vocal jazz",0.617,0.409,0,-11.326,0,0.0451,0.799,0.00319,0.184,0.659,76.046,4
49DPLHCTEYgJrMcq88N138,3ZUZYvTkSr7kJQyAXVpqaL,Pentecostal Feelin' - Rudy Van Gelder Edition/2003 Remaster,Donald Byrd,403960,10,"bebop,funk,hard bop,indie jazz,jazz,jazz funk,jazz trumpet,soul,soul jazz",0.414,0.534,7,-8.539,1,0.0422,0.598,0.0000426,0.106,0.554,167.236,4
7aQeyHid1xFCNIExUFSHC7,1lB7KbOr9xdPK1CuasxmeA,Dusty Foot - Remastered,Jackie McLean,415226,9,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.37,0.568,1,-9.621,1,0.0391,0.828,0.0576,0.0883,0.642,168.318,3
0uzPDHGV0ZAjk8wLlryt7C,2fMvylhnE23sAlyePKK8er,Una Mas (One More Time) - Remasted 1998/ Rudy Van Gelder Edition,Kenny Dorham,919906,20,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,stride",0.599,0.521,5,-9.104,0,0.0556,0.891,0.278,0.0997,0.684,83.155,4
0RVS3nlgxJi6dysaMhyzFC,3BG0nwVh3Gc7cuT4XdsLtt,Our Thing,Joe Henderson,336466,9,"avant-garde jazz,bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz saxophone,soul jazz,stride",0.464,0.574,6,-8.97,1,0.0387,0.776,0.00484,0.113,0.65,133.698,4
7cdEjNIt8XZ0TrV71GFnsX,6dAtGAnHCQ1ujMUZ9Ep82k,Nomad - Rudy Van Gelder Edition / Remastered 1999,Grant Green,736746,21,"hard bop,jazz,jazz funk,jazz fusion,jazz guitar,soul jazz",0.602,0.471,4,-10.199,0,0.032,0.806,0.0000738,0.0976,0.513,103.564,4
0mZyK43KtXuztbI7WoTuHn,3uO6HG2JwyP744sg4PMmg5,For Duke P. (AKA XYZ),Bobby Hutcherson,474440,8,"avant-garde jazz,contemporary post-bop,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz vibraphone,mallet",0.465,0.371,8,-14.772,1,0.0371,0.767,0.000275,0.124,0.4,110.552,4
0VdWdKOc89hIgldDdWSJ6R,1N0ymPm6hUQbmzXDuERfeT,Latona,Big John Patton,443733,14,"hard bop,jazz funk,jazz organ,soul jazz",0.427,0.762,4,-8.901,1,0.0285,0.746,0.0176,0.122,0.668,102.731,4
5qtYAfPqVUX67HUFIQ9BTA,6dAtGAnHCQ1ujMUZ9Ep82k,I Wish You Love - Rudy Van Gelder Edition / Remastered 2009,Grant Green,526253,16,"hard bop,jazz,jazz funk,jazz fusion,jazz guitar,soul jazz",0.465,0.439,5,-12.191,0,0.0569,0.948,0.012,0.163,0.59,92.293,4
0yln1cyOLXXhaztBXeGPPR,6Y6kAZs0W9NNsxNbpImPvq,Paris Eyes - Remastered,Larry Young,401866,10,"avant-garde jazz,free jazz,hard bop,jazz funk,jazz organ,soul jazz",0.538,0.305,7,-14.715,0,0.0462,0.798,0.00103,0.101,0.595,136.158,3
03nB9wT5HW9OLgH40zqnKi,0FO6iwNxAbcjc8IStwizj6,Love Song - Rudy Van Gelder Edition/2009 Digital Remaster,Anthony Williams,504000,15,steelpan,0.469,0.447,2,-12.048,0,0.0326,0.714,0,0.0645,0.666,111.637,4
0T1EaGm6b9eM7xBf4F1hlc,2ZvrvbQNrHKwjT7qfGFFUW,Maiden Voyage - Remastered,Herbie Hancock,477093,46,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.467,0.459,0,-9.706,0,0.0305,0.719,0.00312,0.0944,0.178,124.379,4
0F8xfPspwyXxRjsiW12mya,0ZqhrTXYPA9DZR527ZnFdO,502 Blues (Drinkin' And Drivin') - Rudy Van Gelder Edition/2000 Digital Remaster/24 Bit Mastering,Wayne Shorter,394466,36,"contemporary jazz,contemporary post-bop,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz saxophone,uk contemporary jazz",0.472,0.285,9,-15.019,0,0.0342,0.921,0.133,0.115,0.236,126.309,3
6NoKEoRNeiry3tHz830t46,"0kbYTNQb4Pb1rPbbaF0pT4,0ZqhrTXYPA9DZR527ZnFdO,2ZvrvbQNrHKwjT7qfGFFUW,4wnzivx3OQ3vjrySAdTdJP,1TW90GjShgkjySrxBxcwQe","Prince of Darkness (feat. Wayne Shorter, Herbie Hancock, Ron Carter & Tony Williams)","Miles Davis,Wayne Shorter,Herbie Hancock,Ron Carter,Tony Williams",392693,23,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz,contemporary jazz,contemporary post-bop,free jazz,jazz funk,jazz saxophone,funk,instrumental funk,jazz piano,jazz double bass,jazz drums",0.392,0.55,0,-13.198,1,0.0515,0.144,0.0000363,0.222,0.452,125.796,4
2WaG1B4OSR6FLIALQ7ufBa,38C3okxv3fyyOIQUVPCdGX,Soft Touch,Lee Morgan,422266,8,"bebop,big band,free jazz,hard bop,jazz,jazz fusion,jazz trumpet,soul jazz",0.418,0.492,3,-13.379,0,0.0386,0.608,0,0.129,0.523,141.637,4
5yIUlo7Hf7Yuy8hZaWlBsF,5cbutZUQE7SUCA6MsEMbBv,Soft Impression - Remastered,Hank Mobley,286573,19,"bebop,hard bop,jazz,jazz saxophone,soul jazz,vocal jazz",0.605,0.45,2,-10.258,0,0.0356,0.787,0.00000398,0.115,0.55,115.98,4
2BxxczLpD7QAVg5LqzdtBg,2EsmKkHsXK0WMNGOtIhbxr,Lee Plus Three - Remastered,McCoy Tyner,336293,5,"contemporary post-bop,hard bop,jazz,jazz fusion,jazz piano,stride",0.532,0.38,10,-15.154,0,0.0545,0.903,0.482,0.139,0.636,144.731,3
00JAZ9GvGweAd3pQvUwbKh,1MJpO71ShS9nmFAbT6KM2n,Do It - Remastered 2004,Jack Wilson,386600,15,hard bop,0.731,0.612,10,-9.113,1,0.0321,0.642,0.0136,0.167,0.795,124.89,4
6Zq16TMXfnRyCiXCNcIqSG,2SZ1e7QHN5jon9tpSpQl44,Sudel,Duke Pearson,340346,7,"hard bop,jazz piano,soul jazz",0.528,0.491,5,-8.303,0,0.0417,0.873,0.0147,0.14,0.596,89.605,4
3gUKQ8B3EeLhbryV5vZNxn,0fTHKjepK5HWOrb2rkS5Em,Cunga Black - Remastered 2004/Rudy Van Gelder Edition,Freddie Hubbard,315053,5,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz,stride",0.528,0.538,5,-10.522,1,0.0431,0.873,0.746,0.154,0.61,164.233,4
6HpGqqpmoQ9O9kOzPtELhy,1sdyFmN4bVOcuFDpTVsxBB,Wavy Gravy - Remastered,Kenny Burrell,347706,32,"bebop,hard bop,jazz,jazz fusion,jazz guitar,soul jazz,straight-ahead jazz",0.704,0.357,2,-13.096,0,0.0341,0.526,0.0038,0.0723,0.513,130.387,3
22dPhRVLLOoVQG2WUPre2I,2dRsXWVnkku2cMDtV1h6NP,Sara's Dance - Remastered,Stanley Turrentine,374680,5,"bebop,hard bop,jazz,jazz saxophone,soul jazz",0.693,0.532,0,-8.609,0,0.0567,0.318,0.00000645,0.0625,0.701,96.304,4
5Ax16me19ETaUpNnyhckTv,5GXruybcLmXPjR9rKKFyS6,Red Top - Remastered 2004/Rudy Van Gelder Edition,Jimmy Smith,456466,13,"bebop,funk,hammond organ,hard bop,jazz,jazz blues,jazz funk,jazz fusion,jazz organ,soul jazz",0.578,0.438,0,-10.051,0,0.0313,0.69,0.321,0.114,0.277,61.93,4
6bh6XdbLnknI5MmjTRvmiC,27Zmfr3VpJSgOf8iyWiZzM,Si-Joya - Remastered 2007/Rudy Van Gelder Edition,Duke Jordan,403893,7,"bebop,hard bop,japanese jazz,jazz piano",0.481,0.434,5,-9.538,0,0.0448,0.872,0.143,0.311,0.587,164.191,4
6PcJ14yuVBeCGsE76lMss0,748mYOdaWuFH4wXCvsvInR,Variation On Monk,Dizzy Reece,341266,8,"bebop,british jazz,hard bop,jazz trumpet",0.633,0.697,2,-9.746,0,0.084,0.797,0.31,0.0717,0.691,115.073,4
1hsjFHghCeJUp0146vbCch,5cbutZUQE7SUCA6MsEMbBv,Peckin' Time - Remastered 2008,Hank Mobley,412800,6,"bebop,hard bop,jazz,jazz saxophone,soul jazz,vocal jazz",0.567,0.684,9,-6.966,0,0.0449,0.403,0.00254,0.271,0.825,106.236,4
7DQXBpdkliIFexX7qpMUWB,6ykfXAed2KOLOMI3R0TZdz,M & M - Live,Art Blakey & The Jazz Messengers,401000,6,"bebop,hard bop,jazz,jazz drums,jazz fusion",0.431,0.665,5,-9.875,0,0.061,0.592,0.000346,0.891,0.639,81.781,4
2iFSqRYtYuDhTub8kc6E8D,3ZUZYvTkSr7kJQyAXVpqaL,My Girl Shirl - Live,Donald Byrd,634066,6,"bebop,funk,hard bop,indie jazz,jazz,jazz funk,jazz trumpet,soul,soul jazz",0.483,0.546,5,-10.798,0,0.0462,0.432,0.000049,0.611,0.862,117.494,4
0uIzWElJq46CoGBsCkGMet,2ky06Hu02htCYdnLZICpqY,Rhumba Nhumba - Rudy Van Gelder/Digital Remaster/2007,Walter Davis,419573,6,"barrelhouse piano,delta blues,traditional blues",0.624,0.575,7,-9.523,0,0.0475,0.769,0.0302,0.128,0.707,104.498,4
2X6hcqcF1M1Yheg9dQGLFX,1lB7KbOr9xdPK1CuasxmeA,Davis Cup - Remastered,Jackie McLean,329093,5,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.514,0.414,3,-15.207,1,0.0533,0.814,0.147,0.142,0.682,132.826,4
1J02pIG4SD4X2itRrSY43Y,3ZUZYvTkSr7kJQyAXVpqaL,Lover Come Back To Me - Rudy Van Gelder Edition/Digital Remaster/2006,Donald Byrd,410106,10,"bebop,funk,hard bop,indie jazz,jazz,jazz funk,jazz trumpet,soul,soul jazz",0.421,0.696,8,-6.427,1,0.0824,0.745,0.000795,0.146,0.866,86.694,4
4qIvEVQr1Spnkv4uudFdjP,0JsWkl2GlMvsvCQzYUQQ97,Birks' Works,Red Garland Quintet,451280,9,"bebop,hard bop",0.504,0.471,5,-8.323,0,0.0383,0.836,0.647,0.226,0.57,84.686,4
3uy1eOh757sbZKkJWySYHJ,2hGh5VOeeqimQFxqXvfCUf,You Say You Care,John Coltrane,373466,15,"bebop,free jazz,jazz,jazz saxophone",0.529,0.512,2,-9.276,0,0.0466,0.86,0.000312,0.0945,0.554,107.479,4
4n0BS5cvwZlVGVM1FCwaBJ,"1tGINpEJVUsQXssRC28ugo,1WsMRWV5KEC2AxpYkeb2Cf,0M1UOBJZ9tcKJbrbnVlHZG",Sugar Ray,"Roy Haynes,Phineas Newborn Jr.,Paul Chambers",383080,0,"avant-garde jazz,bebop,contemporary post-bop,hard bop,jazz,jazz drums,jazz piano,stride,jazz double bass",0.564,0.359,5,-13.293,0,0.0575,0.824,0.0433,0.121,0.481,116.037,4
7JfDeg2M2819sYOSO0pqpo,"3z4qqrJqPWfTl9CSUNxb93,1WsMRWV5KEC2AxpYkeb2Cf,3H6A2KqJF5TLVBKnYwIa73,6M7ScGp8p2GspFJaIMh1Yo",Demon Chase,"Howard McGhee,Phineas Newborn Jr.,Leroy Vinnegar,Shelly Manne",472253,1,"bebop,hard bop,jazz trumpet,stride,jazz piano,jazz double bass,cool jazz,jazz drums",0.507,0.258,7,-15.612,1,0.0865,0.833,0.151,0.108,0.585,176.367,4
6hVxUzAJGqpGDIiYrhU3xi,6M7ScGp8p2GspFJaIMh1Yo,Step Lightly,Shelly Manne,761111,1,"cool jazz,jazz drums",0.684,0.124,2,-22.739,0,0.0499,0.774,0.667,0.615,0.415,63.445,4
70FWIRrkqpxyJRMe6ldyRb,2o346NHhUAlVxl5uXBVxK7,"Azule Serape - Live At The Lighthouse, Hermosa Beach/1960",The Cannonball Adderley Quintet,569133,9,"bebop,big band,hard bop,jazz,jazz saxophone,soul jazz",0.586,0.53,5,-9.078,0,0.0725,0.772,0.173,0.744,0.746,107.12,4
0F92yJNGBIDK5fuRS37AW6,"57uB1nsVzhNMAj2xZBG0BW,53TjTwCEnkdeTkNUO0qivk",Way Down,"Curtis Amy,Victor Feldman",460946,2,"deep free jazz,jazz vibraphone",0.579,0.544,2,-9.224,0,0.0316,0.732,0.00372,0.18,0.626,74.678,4
6JtGvHxC6mW8aVy6ZEnWIA,3NUsiT2JSyaWAnWaXxDzhQ,Heartaches,Dexter Gordon,467626,28,"bebop,hard bop,jazz,jazz saxophone,stride,vocal jazz",0.562,0.422,10,-12.043,1,0.0393,0.828,0.0000497,0.106,0.684,81.791,4
2WGeiogtffGHwAxnzYJOWk,6dAtGAnHCQ1ujMUZ9Ep82k,Idle Moments - Rudy Van Gelder Edition / Remastered 1999,Grant Green,896080,34,"hard bop,jazz,jazz funk,jazz fusion,jazz guitar,soul jazz",0.6,0.11,0,-17.392,0,0.0557,0.943,0.369,0.098,0.185,115.97,4
23NFKrGZuJ2BILimF49Vg7,5HWSWx1uHCqorf70HByfjW,Candu - Remastered 2004,Pete La Roca,405573,11,"free jazz,hard bop,jazz drums",0.538,0.548,2,-9.986,0,0.0316,0.173,0,0.107,0.641,130.428,4
3dZOkYIgks0BCh7wNWhJBL,3BG0nwVh3Gc7cuT4XdsLtt,Short Story - Remastered 2003 / Rudy Van Gelder Edition,Joe Henderson,430640,16,"avant-garde jazz,bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz saxophone,soul jazz,stride",0.597,0.581,5,-12.184,0,0.0433,0.623,0.00000691,0.104,0.71,104.263,4
7g5s6z0DJrXCBxBPYxc2Du,4PNIQCDBeVCSSqKUhvkP8Y,The African Queen - Rudy Van Gelder Edition / 2003 Remastered,Horace Silver Quintet,576693,15,"bebop,hard bop,jazz,soul jazz",0.538,0.44,10,-12.273,1,0.0398,0.674,0.711,0.113,0.549,96.041,4
6KiQzW7mdY1TBPyZBSFRCx,6Y6kAZs0W9NNsxNbpImPvq,Beyond All Limits - Rudy Van Gelder 24Bit Mastering/Digital Remaster/1998,Larry Young,362373,11,"avant-garde jazz,free jazz,hard bop,jazz funk,jazz organ,soul jazz",0.376,0.62,0,-7.218,0,0.0451,0.652,0.000162,0.316,0.635,147.629,4
3HPiRAD1iqEdjCWk4MrrFy,3ZppcUE7tHnE6SzUR4ipSy,Den Tex - Remastered,Booker Ervin,458560,16,"bebop,free jazz,hard bop,jazz saxophone",0.465,0.653,10,-8.722,0,0.0584,0.56,0.00438,0.0915,0.597,102.209,4
2XoiTudKdrjzotsaQBQD8S,413WfGS7CgAHEJD4DtAo3e,Lonely One - Rudy Van Gelder Edition/Digitally Remastered 2009,Horace Parlan,246266,10,"bebop,hard bop,jazz piano,soul jazz",0.353,0.226,5,-13.315,0,0.0345,0.965,0.555,0.326,0.12,60.62,4
6zAPaRDoT99ThFtIXUJwhO,5cbutZUQE7SUCA6MsEMbBv,Workout - Remastered 2005,Hank Mobley,603586,13,"bebop,hard bop,jazz,jazz saxophone,soul jazz,vocal jazz",0.439,0.691,5,-9.475,1,0.055,0.526,0.0127,0.165,0.788,90.418,4
1FDVWAHG7MUBSSzcmCj77S,6dAtGAnHCQ1ujMUZ9Ep82k,Miss Ann's Tempo - Rudy Van Gelder Edition / Remastered 2009,Grant Green,340733,26,"hard bop,jazz,jazz funk,jazz fusion,jazz guitar,soul jazz",0.506,0.571,5,-13.213,0,0.0426,0.866,0.717,0.151,0.768,126.443,4
4AuF3pAf7dDFLJbftFTsck,5QFpvP79VaxZ7sty3RyBPS,That's Where It's At,Fred Jackson,309906,2,soul jazz,0.594,0.417,1,-10.982,1,0.0395,0.807,0.00016,0.19,0.685,92.964,4
5FSdS8H1Ry3CL96dt0hoaZ,0O7NCxpI0C3RLwvbWBNWhO,Goin' Down - Remastered 2007/Rudy Van Gelder Edition,Baby Face Willette,444600,6,"hard bop,jazz organ,soul jazz",0.502,0.408,0,-9.962,1,0.0638,0.919,0.79,0.202,0.231,73.185,4
1VSTvuO2bhaqVJHay0rtd1,2dRsXWVnkku2cMDtV1h6NP,Love For Sale - Live,Stanley Turrentine,911133,3,"bebop,hard bop,jazz,jazz saxophone,soul jazz",0.447,0.601,10,-11.879,0,0.0498,0.785,0.0337,0.198,0.751,133.181,4
6Jc3E6d1adILQkSyOK5R25,02jb3iJUcjIVwucRa5YXTn,Dizzy's Business,Cannonball Adderley Sextet,419893,0,"bebop,hard bop,jazz",0.391,0.64,8,-11.29,1,0.0574,0.764,0.0000294,0.694,0.822,88.78,3
3Kjq1wl8JDLz7PJABFb8nd,"7KjjSmSX5wCE1KYOerEf6D,03YhcM6fxypfwckPCQV8pQ,1kAv08slEx0DSJkSOrKlsY",My Heart Stood Still,"Nat Adderley,Wes Montgomery,Sam Jones",386213,0,"bebop,hard bop,jazz,jazz trumpet,soul jazz,jazz fusion,jazz guitar,jazz double bass",0.592,0.185,5,-17.16,1,0.064,0.881,0.49,0.106,0.369,133.248,4
6yzBiIyGbUiSweVt295pHg,03YhcM6fxypfwckPCQV8pQ,Hymn For Carl,Wes Montgomery,275200,10,"hard bop,jazz,jazz fusion,jazz guitar",0.659,0.285,5,-13.314,0,0.0378,0.839,0.0163,0.149,0.447,120.053,4
62QJss4o3MIKd23vpm4iv8,54K4C4DraZ8TJq0oY4MNIS,Ursula - Instrumental,Harold Land Sextet,426760,6,,0.628,0.205,1,-17.874,1,0.0383,0.745,0.411,0.122,0.465,123.676,4
3bYTdS4UNyT4Ui5RjOmbTL,4L9xEztn5PKQIO5WnI5W3u,Nita,Art Farmer,267466,4,"bebop,contemporary post-bop,cool jazz,hard bop,japanese jazz,jazz,jazz trumpet,stride",0.636,0.219,9,-17.258,1,0.0568,0.847,0.000834,0.083,0.711,91.986,4
6Z602VAQGptsRT8IzBwM9y,5ZATfKurLqflrBhv2FLht5,No Smokin' - Remastered 1999/Rudy Van Gelder Edition,Horace Silver,333693,17,"bebop,big band,hard bop,jazz,jazz piano,soul jazz,stride",0.42,0.584,10,-12.405,0,0.0564,0.588,0.00476,0.0748,0.736,147.382,4
7CnOzCWGrTINcDExG6u99y,1Sc9ykJB728MAZab1Ocwy8,Cool Struttin',Sonny Clark,563613,45,"bebop,contemporary post-bop,hard bop,japanese jazz,jazz,jazz piano,soul jazz,stride",0.58,0.48,7,-7.682,0,0.0339,0.837,0.00432,0.171,0.48,108.892,4
79AdyqBiU3BbLqcJuH545Q,1lB7KbOr9xdPK1CuasxmeA,I Love You - Remastered,Jackie McLean,311066,8,"avant-garde jazz,bebop,contemporary post-bop,free jazz,hard bop,jazz,jazz saxophone",0.578,0.419,5,-13.796,0,0.0499,0.876,0.00137,0.268,0.596,97.308,4
2IBwQkafMrOheHtTI9h3tU,3ZUZYvTkSr7kJQyAXVpqaL,Lament,Donald Byrd,507920,7,"bebop,funk,hard bop,indie jazz,jazz,jazz funk,jazz trumpet,soul,soul jazz",0.484,0.387,0,-8.677,0,0.0349,0.91,0.0152,0.0848,0.274,126.467,4
3rLA16kZXm8dP6YTlttAo6,38C3okxv3fyyOIQUVPCdGX,Nakatini Suite,Lee Morgan,489960,9,"bebop,big band,free jazz,hard bop,jazz,jazz fusion,jazz trumpet,soul jazz",0.544,0.508,9,-14.063,1,0.0747,0.707,0.674,0.103,0.496,130.751,4
71RQEIdMfA97b6w3813ji8,6ykfXAed2KOLOMI3R0TZdz,Kozo's Waltz,Art Blakey & The Jazz Messengers,409120,16,"bebop,hard bop,jazz,jazz drums,jazz fusion",0.534,0.704,6,-9.77,1,0.122,0.637,0.525,0.103,0.649,110.315,3
5f0n6K8hW2RIVXuZjxO0bu,5cbutZUQE7SUCA6MsEMbBv,This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,385866,41,"bebop,hard bop,jazz,jazz saxophone,soul jazz,vocal jazz",0.587,0.673,10,-7.858,1,0.0509,0.744,0.00618,0.0721,0.788,123.407,4
71Ym3h7QBAECXAX9QwfCsM,748mYOdaWuFH4wXCvsvInR,The Rebound,Dizzy Reece,408480,7,"bebop,british jazz,hard bop,jazz trumpet",0.454,0.478,0,-10.947,0,0.116,0.846,0.435,0.29,0.7,205.225,4
0QfaGuHjhevBsX1B5Eufbd,27Zmfr3VpJSgOf8iyWiZzM,Flight To Jordan - Remastered 2007/Rudy Van Gelder Edition,Duke Jordan,331853,12,"bebop,hard bop,japanese jazz,jazz piano",0.609,0.467,0,-8.554,0,0.0325,0.826,0.00584,0.173,0.691,101.65,4
6Xj4Rv5LhF1ED7rszDCEkk,2dRsXWVnkku2cMDtV1h6NP,Cotton Walk,Stanley Turrentine,652933,2,"bebop,hard bop,jazz,jazz saxophone,soul jazz",0.609,0.325,0,-10.534,1,0.029,0.709,0.017,0.125,0.251,89.124,4
6jgdW3TwSpuA33eMexUM7k,1sdyFmN4bVOcuFDpTVsxBB,Saturday Night Blues - Remastered,Kenny Burrell,376440,29,"bebop,hard bop,jazz,jazz fusion,jazz guitar,soul jazz,straight-ahead jazz",0.711,0.247,7,-12.586,1,0.032,0.549,0.000235,0.166,0.502,92.276,4
2JQ0G5xpX5E5BCVsxoZX7J,338mC0yGyX0C9of8QMJ5hK,Travelin',Gene Ammons,221160,1,"bebop,hard bop,jazz,jazz saxophone,soul jazz,stride",0.626,0.304,0,-15.092,0,0.0456,0.753,0.656,0.119,0.499,93.729,4
